
> frontend@0.0.0 dev
> vite


  VITE v7.3.2  ready in 856 ms

  ➜  Local:   http://localhost:5173/
  ➜  Network: use --host to expose
9:10:33 PM [vite] (client) hmr update /src/pages/admin/CreateSession.tsx
9:10:50 PM [vite] (client) hmr update /src/pages/admin/CreateSession.css
10:43:25 PM [vite] (client) hmr update /src/pages/admin/CreateSession.css
10:45:14 PM [vite] (client) hmr update /src/pages/admin/CreateSession.css
10:50:44 PM [vite] (client) hmr update /src/pages/admin/CreateSession.css
10:53:41 PM [vite] (client) hmr update /src/pages/admin/CreateSession.css
10:53:42 PM [vite] (client) hmr update /src/pages/admin/CreateSession.css
11:18:36 PM [vite] (client) hmr update /src/pages/admin/UploadVotes.css
11:18:36 PM [vite] (client) hmr update /src/pages/admin/UploadVotes.css
11:18:36 PM [vite] (client) hmr update /src/pages/admin/UploadVotes.css
11:27:54 PM [vite] (client) hmr update /src/pages/admin/SessionDetail.tsx
